Timestamp                     Simulation t   % complete   Est. completion
Fri Oct 28 00:30:01 2022       0.00*year              0   TBD
Fri Oct 28 00:46:12 2022       0.00*year              5   Fri Oct 28 05:56:31 2022
Fri Oct 28 00:59:59 2022       0.00*year             10   Fri Oct 28 05:31:01 2022
Fri Oct 28 01:13:45 2022       0.00*year             15   Fri Oct 28 05:22:13 2022
Fri Oct 28 01:27:06 2022       0.00*year             20   Fri Oct 28 05:15:53 2022
Fri Oct 28 01:36:54 2022       0.00*year             25   Fri Oct 28 04:57:53 2022
Fri Oct 28 01:46:44 2022       0.00*year             30   Fri Oct 28 04:46:00 2022
Fri Oct 28 01:56:34 2022       0.00*year             35   Fri Oct 28 04:37:30 2022
Fri Oct 28 02:06:24 2022       0.00*year             40   Fri Oct 28 04:31:08 2022
Fri Oct 28 02:16:12 2022       0.00*year             45   Fri Oct 28 04:26:06 2022
Fri Oct 28 02:26:03 2022       0.00*year             50   Fri Oct 28 04:22:11 2022
Fri Oct 28 02:35:54 2022       0.00*year             55   Fri Oct 28 04:18:58 2022
Fri Oct 28 02:45:44 2022       0.00*year             60   Fri Oct 28 04:16:16 2022
Fri Oct 28 02:55:34 2022       0.00*year             65   Fri Oct 28 04:13:59 2022
Fri Oct 28 03:05:26 2022       0.00*year             70   Fri Oct 28 04:12:04 2022
Fri Oct 28 03:15:16 2022       0.00*year             75   Fri Oct 28 04:10:22 2022
Fri Oct 28 03:25:07 2022       0.00*year             80   Fri Oct 28 04:08:54 2022
Fri Oct 28 03:34:59 2022       0.00*year             85   Fri Oct 28 04:07:37 2022
Fri Oct 28 03:44:52 2022       0.00*year             90   Fri Oct 28 04:06:30 2022
Fri Oct 28 03:54:44 2022       0.00*year             95   Fri Oct 28 04:05:29 2022
Fri Oct 28 04:04:37 2022       0.00*year            100   Fri Oct 28 04:04:35 2022
