Timestamp                     Simulation t   % complete   Est. completion
Tue Oct 11 19:50:33 2022       0.00*year              0   TBD
Tue Oct 11 19:50:44 2022       0.00*year              5   Tue Oct 11 19:54:12 2022
Tue Oct 11 19:50:56 2022       0.00*year             10   Tue Oct 11 19:54:22 2022
Tue Oct 11 19:51:07 2022       0.00*year             15   Tue Oct 11 19:54:19 2022
Tue Oct 11 19:51:19 2022       0.00*year             20   Tue Oct 11 19:54:22 2022
Tue Oct 11 19:51:32 2022       0.00*year             25   Tue Oct 11 19:54:28 2022
Tue Oct 11 19:51:46 2022       0.00*year             30   Tue Oct 11 19:54:35 2022
Tue Oct 11 19:52:01 2022       0.00*year             35   Tue Oct 11 19:54:43 2022
Tue Oct 11 19:52:16 2022       0.00*year             40   Tue Oct 11 19:54:49 2022
Tue Oct 11 19:52:28 2022       0.00*year             45   Tue Oct 11 19:54:47 2022
Tue Oct 11 19:52:41 2022       0.00*year             50   Tue Oct 11 19:54:48 2022
Tue Oct 11 19:52:55 2022       0.00*year             55   Tue Oct 11 19:54:50 2022
Tue Oct 11 19:53:10 2022       0.00*year             60   Tue Oct 11 19:54:54 2022
Tue Oct 11 19:53:24 2022       0.00*year             65   Tue Oct 11 19:54:55 2022
Tue Oct 11 19:53:36 2022       0.00*year             70   Tue Oct 11 19:54:54 2022
Tue Oct 11 19:53:49 2022       0.00*year             75   Tue Oct 11 19:54:53 2022
Tue Oct 11 19:54:02 2022       0.00*year             80   Tue Oct 11 19:54:53 2022
Tue Oct 11 19:54:16 2022       0.00*year             85   Tue Oct 11 19:54:55 2022
Tue Oct 11 19:54:31 2022       0.00*year             90   Tue Oct 11 19:54:57 2022
Tue Oct 11 19:54:44 2022       0.00*year             95   Tue Oct 11 19:54:56 2022
Tue Oct 11 19:54:57 2022       0.00*year            100   Tue Oct 11 19:54:56 2022
